"nama","gender","usia","area","ses","user_ts","user_ns","tom","unaided_1","unaided_2","unaided_3"
"el-Younis, Shafaaa","F","16 - 20 th","SUM 1","Up1","tidak","ya","inews","sctv","trans tv","trans7"
"Contreras, Ramona","M","21 - 25 th","Sulawesi","Up1","ya","ya","trans7","tv one","sctv","net"
"Riley, Bradley","F","21 - 25 th","Jabar","Mid","tidak","ya","trans7","trans tv","net","indosiar"
"Jackson, Kyle","M","21 - 25 th","SUM 1","Mid","tidak","ya","net","trans7","inews","trans tv"
"Sanders, Connor","M","16 - 20 th","SUM 2","Super","tidak","tidak","rcti","indosiar","trans tv","net"
"Vang, David","M","> 30 th","PUMA","Up1","ya","ya","mnc tv","rcti","sctv","inews"
"Begay, Mareena","F","26 - 30 th","Jabodetabek","Up2","ya","ya","net","mnc tv","sctv","trans7"
"Bancroft, Vincent","F","26 - 30 th","PUMA","Mid","ya","tidak","net","rcti","sctv","trans tv"
"el-Sarwar, Saamir","M","21 - 25 th","SUM 2","Super","ya","ya","mnc tv","net","sctv","inews"
"el-Samara, Sukaina","F","26 - 30 th","Jatim","Up1","ya","tidak","trans tv","tv one","rcti","inews"
"Kalenytch, Ty","M","21 - 25 th","Jateng","Up1","ya","ya","rcti","trans7","net","mnc tv"
"Williams, Gomzur","M","16 - 20 th","Jabodetabek","Super","ya","ya","trans7","tv one","net","rcti"
"Gardenhire, Darian","F","21 - 25 th","Sulawesi","Super","ya","tidak","net","trans7","inews","trans tv"
"Kingman, Tristian","M","21 - 25 th","Jatim","Mid","ya","ya","indosiar","net","inews","rcti"
"Rodriguez, Samantha","F","21 - 25 th","Jatim","Super","tidak","ya","inews","trans tv","net","rcti"
"Banuelos, Ruben","M","26 - 30 th","SUM 2","Mid","ya","ya","mnc tv","net","trans tv","sctv"
"Camacho, Zacherie","M","21 - 25 th","SUM 2","Super","ya","ya","trans7","sctv","net","inews"
"al-Bina, Awad","F","11 - 15 th","Sulawesi","Mid","ya","ya","sctv","net","trans7","inews"
"Awtrey, Donovan","F","26 - 30 th","Jabodetabek","Mid","ya","ya","rcti","net","trans7","mnc tv"
"Yang, Melissa","F","16 - 20 th","SUM 1","Up1","ya","ya","mnc tv","sctv","trans tv","trans7"
"al-Mansur, Zaid","F","21 - 25 th","SUM 2","Mid","ya","tidak","tv one","rcti","inews","net"
"Auyeung, Joshua","F","21 - 25 th","SUM 1","Up2","ya","ya","trans7","tv one","sctv","mnc tv"
"Edd, Shay","F","21 - 25 th","Jabodetabek","Super","ya","ya","sctv","indosiar","tv one","net"
"Hilton, Kelli","M","26 - 30 th","SUM 2","Mid","ya","tidak","trans7","sctv","inews","trans tv"
"al-Mohiuddin, Aaqil","M","11 - 15 th","Kalimantan","Mid","ya","ya","rcti","sctv","trans7","inews"
"al-Fadel, Amru","M","21 - 25 th","SUM 1","Super","ya","ya","net","trans7","sctv","indosiar"
"Menning, Karely","F","> 30 th","Jabodetabek","Up1","tidak","ya","trans7","net","rcti","mnc tv"
"Chavez, Carlos","F","26 - 30 th","Sulawesi","Mid","tidak","tidak","net","trans7","trans tv","sctv"
"Dietz, Stephanie","M","11 - 15 th","Jatim","Super","ya","tidak","mnc tv","trans tv","net","trans7"
"Lopez Martinez, Victoria","M","21 - 25 th","Jatim","Mid","tidak","ya","inews","indosiar","trans7","net"
"Labishak, Bryton","M","26 - 30 th","Kalimantan","Mid","ya","tidak","tv one","trans tv","rcti","inews"
"Zerom, Shilo","M","16 - 20 th","SUM 2","Up1","ya","ya","net","trans7","inews","trans tv"
"Kempton, Chu","M","11 - 15 th","SUM 2","Mid","tidak","ya","net","trans tv","indosiar","rcti"
"Pinto, Corey","M","16 - 20 th","Jabar","Mid","ya","ya","trans7","rcti","mnc tv","net"
"Jones, Kyle","F","> 30 th","Jabodetabek","Mid","ya","ya","trans7","trans tv","tv one","net"
"Tieman, Lynn","M","21 - 25 th","Jateng","Mid","ya","ya","inews","indosiar","trans7","mnc tv"
"al-Halim, Sad","M","21 - 25 th","BARA","Mid","ya","ya","net","rcti","tv one","trans tv"
"Juarez, Alfredo","F","21 - 25 th","Jabodetabek","Super","ya","ya","tv one","trans7","inews","trans tv"
"Blea, Andrew","M","21 - 25 th","Jateng","Mid","ya","tidak","sctv","inews","net","trans7"
"al-Abbasi, Fahd","F","26 - 30 th","Jabodetabek","Up2","ya","tidak","sctv","mnc tv","trans tv","net"
"Vasquez, Lee","F","21 - 25 th","Jabodetabek","Up2","tidak","ya","mnc tv","rcti","net","sctv"
"Culhane, Dakota","F","21 - 25 th","SUM 2","Up1","tidak","ya","mnc tv","net","trans7","sctv"
"Gayman, Preston","M","26 - 30 th","Jateng","Up2","tidak","ya","rcti","trans7","sctv","net"
"Sanchez, Turray","M","26 - 30 th","BARA","Up1","ya","ya","sctv","mnc tv","inews","net"
"Barragan Monrrial, Max","M","26 - 30 th","SUM 2","Mid","ya","ya","inews","trans7","net","mnc tv"
"Abeyta, Ana","F","16 - 20 th","Jatim","Mid","tidak","tidak","inews","trans7","sctv","net"
"Johnson, Brianna","F","16 - 20 th","PUMA","Super","ya","ya","trans7","trans tv","net","inews"
"Bolyard, Westen","M","21 - 25 th","PUMA","Mid","ya","ya","trans tv","net","inews","mnc tv"
"Flores, Jessica","F","11 - 15 th","Sulawesi","Mid","tidak","tidak","trans tv","inews","net","sctv"
"Lee, Savannah","F","26 - 30 th","PUMA","Super","ya","ya","net","tv one","sctv","trans tv"
"Benson, Cherokee","M","26 - 30 th","BARA","Mid","ya","tidak","mnc tv","net","rcti","tv one"
"el-Noori, Mus'ab","F","16 - 20 th","Jatim","Mid","tidak","tidak","trans7","rcti","mnc tv","inews"
"Morris, Tierra","M","16 - 20 th","Jateng","Super","ya","ya","indosiar","net","inews","trans7"
"Lucero, Hector","M","> 30 th","Jatim","Super","ya","tidak","mnc tv","trans tv","trans7","net"
"Bane, Elijah","F","26 - 30 th","Jateng","Mid","tidak","ya","net","sctv","trans tv","mnc tv"
"Locust, Kyle","F","11 - 15 th","Jateng","Super","ya","ya","sctv","inews","trans7","rcti"
"Mendez, Ryan","F","11 - 15 th","BARA","Up1","tidak","ya","mnc tv","inews","rcti","sctv"
"Moore, Michael","M","26 - 30 th","SUM 2","Up1","tidak","ya","trans tv","trans7","mnc tv","net"
"Beck, Shelby","F","21 - 25 th","PUMA","Up1","tidak","ya","inews","mnc tv","rcti","trans tv"
"Murphy, Miguel","M","26 - 30 th","Jateng","Mid","ya","ya","trans tv","net","rcti","inews"
"Murray, Parker","F","> 30 th","PUMA","Up1","ya","ya","tv one","inews","net","trans7"
"Lindauer, Darnell","M","26 - 30 th","PUMA","Up1","tidak","ya","indosiar","rcti","net","tv one"
"Castaneda, Dakota","F","16 - 20 th","SUM 1","Up1","ya","ya","trans tv","sctv","net","mnc tv"
"al-Masood, Abdul Wadood","F","> 30 th","PUMA","Up2","ya","ya","trans7","trans tv","net","inews"
"Jimenez, Barbara","F","16 - 20 th","Jabar","Up1","tidak","ya","trans7","inews","net","mnc tv"
"Baylon, Sharayah","M","26 - 30 th","Jateng","Mid","tidak","tidak","net","trans7","inews","mnc tv"
"Martin, Ahanabah","F","21 - 25 th","SUM 2","Mid","tidak","ya","net","sctv","rcti","inews"
"Woodard, Merrill Jr","F","> 30 th","Jabar","Super","tidak","tidak","sctv","mnc tv","net","inews"
"al-Jaber, Abdul Fattaah","M","21 - 25 th","PUMA","Mid","tidak","tidak","trans tv","net","trans7","sctv"
"Page, Sunee","F","26 - 30 th","SUM 1","Up1","ya","ya","inews","trans7","net","trans tv"
"el-Bacho, Haatim","F","16 - 20 th","Jatim","Mid","ya","ya","inews","tv one","net","mnc tv"
"el-Zahra, Abdul Kareem","M","> 30 th","SUM 2","Mid","ya","tidak","trans7","net","mnc tv","inews"
"De Dios, Bhoomi","M","21 - 25 th","PUMA","Up1","tidak","ya","mnc tv","inews","tv one","net"
"el-Huq, Wajdiyya","F","26 - 30 th","BARA","Mid","ya","ya","sctv","net","tv one","trans7"
"al-Maroun, Adhraaa","M","26 - 30 th","Jabodetabek","Super","ya","ya","trans tv","trans7","sctv","mnc tv"
"Jateny, Dashanay","M","21 - 25 th","BARA","Super","tidak","tidak","rcti","trans tv","indosiar","tv one"
"al-Abraham, Tharwa","M","26 - 30 th","Jabodetabek","Mid","tidak","ya","inews","trans7","mnc tv","net"
"Diaz, Gustavo","F","26 - 30 th","Jabodetabek","Mid","ya","ya","net","mnc tv","inews","trans tv"
"el-Saleem, Turfa","F","> 30 th","Sulawesi","Mid","ya","ya","rcti","inews","trans tv","net"
"Diaz, Austin","F","21 - 25 th","Sulawesi","Super","tidak","tidak","net","sctv","inews","rcti"
"Hess, Natalie","F","16 - 20 th","Jateng","Mid","ya","ya","mnc tv","trans tv","trans7","inews"
"Garner, Samantha","F","16 - 20 th","SUM 1","Mid","ya","ya","net","trans tv","sctv","mnc tv"
"Hernandez, Jakklen","F","16 - 20 th","SUM 1","Mid","ya","ya","net","trans7","sctv","inews"
"al-Daoud, Abdul Jabbaar","M","11 - 15 th","Jabodetabek","Super","tidak","ya","sctv","trans tv","net","trans7"
"el-Azzam, Sultana","M","> 30 th","Sulawesi","Mid","tidak","ya","indosiar","sctv","trans7","inews"
"el-Suleiman, Jaadallah","M","26 - 30 th","Jabar","Mid","tidak","ya","net","trans tv","rcti","trans7"
"Long, Tory","M","> 30 th","SUM 2","Super","tidak","ya","trans tv","trans7","sctv","inews"
"Foreman, Robert","M","26 - 30 th","Kalimantan","Up2","ya","ya","mnc tv","net","trans tv","sctv"
"Mukes, Rasaan","F","16 - 20 th","Jabar","Super","ya","tidak","net","trans7","trans tv","sctv"
